user_idx,item_idx,relevance
6256,908,1
8862,320,0
6347,586,1
5303,847,0
6883,662,0
5899,856,0
4310,841,0
6048,568,1
6553,219,1
7235,757,0
9823,227,1
5463,386,1
2871,745,1
4715,182,1
870,658,0
2698,541,1
797,748,1
2472,490,1
3853,341,1
8855,171,0
8559,34,0
3401,994,0
7730,971,0
6780,513,1
9124,347,1
2567,89,0
2405,892,1
5892,804,1
7774,254,1
439,868,0
3198,306,1
2083,507,1
6909,281,1
6041,764,0
5900,450,1
6839,656,0
4573,240,0
8278,145,1
8491,970,0
4467,45,1
1098,401,1
9259,904,1
2548,107,0
3788,142,0
9437,221,0
8141,408,1
2998,579,0
738,620,1
2713,873,0
9326,724,1
2121,188,0
3639,572,1
6192,121,0
1970,700,1
9358,641,0
3422,247,1
1762,722,0
4943,631,1
9695,396,1
4003,295,1
5271,674,0
5149,345,1
7753,304,1
2500,535,1
2576,941,0
7242,503,0
9649,300,1
4250,447,1
1975,99,0
599,559,0
8929,759,0
3483,146,0
6673,466,1
5096,927,1
3563,523,0
5913,977,0
4247,552,0
2761,503,1
2698,730,0
4230,237,1
7312,148,1
8927,479,1
6619,458,1
2689,337,0
4998,205,1
2363,28,0
6558,356,0
6886,573,0
6049,529,0
6807,565,1
3751,289,1
1478,995,0
4366,950,0
4267,523,0
3701,632,0
6434,767,0
7069,43,1
3579,659,0
6413,344,0
1022,402,1
1396,125,1
7465,23,0
7553,493,0
2007,624,1
9852,458,1
9563,484,1
4042,976,0
4890,15,1
375,276,1
9085,813,1
4768,567,0
4807,715,1
1228,930,0
1861,858,1
524,562,1
3465,237,1
6910,294,1
7221,573,1
9216,282,1
7030,780,0
8457,154,0
4249,30,1
2659,259,0
661,726,1
3278,995,0
4913,608,1
2340,391,0
281,652,1
2739,405,1
7665,378,1
2495,658,1
6888,730,1
4766,643,0
9669,662,1
8099,914,0
5106,569,0
3286,851,1
4222,651,1
2610,516,1
1581,18,1
2510,342,0
7162,984,1
3281,205,1
6260,118,0
2198,641,1
6065,939,1
6545,550,0
8339,35,1
4575,715,0
3573,680,0
3876,65,0
6199,559,1
9530,912,1
6155,615,0
3779,107,1
4304,120,1
6868,420,1
5612,170,0
3698,751,0
2235,184,0
1069,964,1
9622,206,0
9383,262,1
6007,413,1
6465,168,0
7879,171,1
939,302,1
7557,333,1
9376,306,0
8751,49,1
1016,387,0
8206,19,1
439,212,0
8371,266,0
2819,738,0
7462,563,0
8832,626,0
371,502,1
2877,371,0
5057,744,0
7787,517,1
8013,685,0
2233,290,0
6660,181,0
866,658,0
5247,76,1
7609,382,0
8737,762,0
7757,395,1
7395,63,0
919,717,1
8501,812,0
1683,481,0
273,677,0
9844,165,0
1445,261,0
4522,389,0
5304,452,0
8264,106,1
8507,936,1
7801,247,1
3866,186,1
486,414,0
2158,979,0
5066,256,0
26,597,1
2100,470,1
7263,296,1
8331,690,0
9656,459,1
2375,603,0
1882,527,0
8283,862,1
2814,129,0
3334,874,0
3089,494,0
1149,878,1
2830,405,1
7213,993,0
8996,596,0
2996,964,1
5176,756,1
2328,788,0
2257,521,1
5736,262,0
9096,640,0
2175,416,1
2203,790,1
1740,221,0
9012,937,1
3416,302,1
6790,278,0
6037,42,1
4050,212,0
4407,640,1
8833,654,1
7354,932,0
6182,390,0
6151,140,1
5285,588,0
6511,202,1
1618,407,1
6657,398,0
3088,393,1
9537,437,1
5223,252,1
9594,958,1
5656,575,0
5001,624,0
1396,544,1
202,478,0
8992,53,0
2334,132,1
3966,976,1
9920,583,1
7805,941,0
9502,235,1
4819,746,1
3667,980,1
7531,518,0
7404,640,1
996,463,0
4811,626,1
7386,26,1
1859,897,0
7289,50,1
1793,912,1
2083,574,0
6178,499,1
1186,293,0
3807,785,0
2211,781,1
1318,744,1
6521,213,1
353,151,1
6819,398,1
6720,767,1
3244,692,0
5963,822,0
3133,949,0
8503,954,0
4130,810,1
2961,296,1
4729,331,0
9411,531,0
9228,5,1
2237,235,0
5171,164,1
3470,470,0
4795,163,1
4640,428,1
8173,909,0
5562,910,0
8275,842,0
2565,722,0
4336,43,1
9278,314,0
2051,403,1
6857,323,1
1439,329,1
1917,651,0
4137,269,0
7137,644,1
4570,647,0
7213,632,0
8776,738,0
4941,384,1
719,951,0
8535,402,0
8202,42,1
2492,172,0
7582,192,1
6378,138,0
5639,424,0
3662,760,0
9808,595,1
8001,393,0
2191,826,1
4786,161,0
5553,704,0
9991,817,1
8463,995,0
5886,379,0
4048,801,0
4786,817,0
9631,857,0
1940,220,1
1611,20,1
4427,490,0
6052,735,0
858,424,1
2270,624,0
6838,914,0
8778,899,0
4192,814,0
2220,960,0
8089,341,0
9892,118,0
4743,761,1
6821,85,0
6041,694,0
5998,841,1
674,593,0
5510,262,0
9377,244,0
6711,809,0
9468,231,1
1921,975,0
8858,410,0
8553,623,0
9361,679,1
5903,760,0
3176,521,1
7852,719,0
8700,254,0
2143,766,1
3558,565,0
1913,700,1
4971,984,1
8444,256,0
9526,85,1
756,532,1
5944,979,1
1820,157,0
2518,288,1
8650,491,1
9507,932,0
8759,233,0
1311,489,1
2307,840,1
4184,382,0
2742,70,1
7215,919,0
6418,949,0
5158,318,0
2330,427,1
1238,798,1
9459,679,1
1713,507,1
8931,391,0
1724,702,1
6775,301,0
5521,351,0
5745,528,0
1249,210,0
2427,951,0
5223,245,1
4570,423,1
4663,548,1
5375,878,0
5088,642,0
6448,239,0
7151,547,0
6869,8,1
4635,191,1
7075,709,1
549,937,1
1061,899,1
8849,729,0
3387,918,0
9441,186,1
3046,361,1
5531,536,0
6327,766,0
5690,983,1
8370,562,1
6197,596,0
6655,398,1
7373,456,1
9586,154,0
6310,671,0
8410,364,1
4509,484,1
5832,541,0
8118,993,0
9431,527,1
1734,540,0
8927,194,0
5098,349,1
8640,271,0
7608,500,0
6690,411,1
1349,3,1
